[Fri 11 21 19:47:26 2014]	maps:Warning	MapWebModule->getCurrentFeed@246	/map/	Warning: unable to find feed data for feed 
[Wed 11 26 14:04:14 2014]	url_retriever:Warning	URLDataRetriever->retrieveResponse@508	/home/pane?id=social&ajax=1	Gone for https://api.twitter.com/1/statuses/user_timeline.json?screen_name=kurogofwk&trim_user=1
[Wed 11 26 14:14:48 2014]	url_retriever:Warning	URLDataRetriever->retrieveResponse@508	/home/pane?id=social&ajax=1	Gone for https://api.twitter.com/1/statuses/user_timeline.json?screen_name=kurogofwk&trim_user=1
[Wed 11 26 14:15:24 2014]	url_retriever:Warning	URLDataRetriever->retrieveResponse@508	/home/pane?id=social&ajax=1	Gone for https://api.twitter.com/1/statuses/user_timeline.json?screen_name=kurogofwk&trim_user=1
[Wed 11 26 14:17:20 2014]	url_retriever:Warning	URLDataRetriever->retrieveResponse@508	/home/pane?id=social&ajax=1	Gone for https://api.twitter.com/1/statuses/user_timeline.json?screen_name=kurogofwk&trim_user=1
[Wed 11 26 14:17:25 2014]	url_retriever:Warning	URLDataRetriever->retrieveResponse@508	/home/pane?id=social&ajax=1	Gone for https://api.twitter.com/1/statuses/user_timeline.json?screen_name=kurogofwk&trim_user=1
[Wed 11 26 14:18:01 2014]	url_retriever:Warning	URLDataRetriever->retrieveResponse@508	/home/pane?id=social&ajax=1	Gone for https://api.twitter.com/1/statuses/user_timeline.json?screen_name=kurogofwk&trim_user=1
[Wed 11 26 14:18:12 2014]	url_retriever:Warning	URLDataRetriever->retrieveResponse@508	/home/pane?id=social&ajax=1	Gone for https://api.twitter.com/1/statuses/user_timeline.json?screen_name=kurogofwk&trim_user=1
[Wed 11 26 14:21:49 2014]	exception:Alert	include@19	/people/	A KurogoException has occured: LDAP PHP extension is not installed
[Wed 11 26 14:23:04 2014]	module:Warning	HomeWebModule->runFederatedSearchForModule@145	/home/searchResult?id=people&filter=frryuhf.jn+kjy%F0%9F%98%88%F0%9F%98%92%F0%9F%98%8D%F0%9F%98%88%F0%9F%98%85&ajax=1	Federated search for module people failed: LDAP PHP extension is not installed
[Wed 11 26 15:13:45 2014]	exception:Alert	include@19	/people/	A KurogoException has occured: LDAP PHP extension is not installed
[Wed 11 26 15:13:45 2014]	exception:Alert	include@19	/people/	A KurogoException has occured: LDAP PHP extension is not installed
[Wed 11 26 15:13:45 2014]	exception:Alert	include@19	/people/	A KurogoException has occured: LDAP PHP extension is not installed
[Wed 11 26 15:15:48 2014]	url_retriever:Warning	URLDataRetriever->retrieveResponse@508	/social/	Gone for https://api.twitter.com/1/statuses/user_timeline.json?screen_name=kurogofwk&trim_user=1
